day,brief no.,date,new cases,confirmed total cases,new deaths,total deaths,new recoveries,total recoveries,Active cases,Daily tests,total tests,kenya,foreigners,male,total male,female,total female,nairobi,nairobi total,mombasa,mombasa total,kilifi,kilifi total,kwale,kwale total,kajiado,kajiado total,kitui,kitui total,kiambu,kiambu total,kakamega,kakamega total,kisii,kisii total,mandera,mandera total,siaya,siaya total,nakuru,nakuru total,homa bay,homa bay total,uasin gishu,uasin gishu total,wajir,wajir total,migori,migori total,bungoma,bungoma total,busia,busia total,isiolo,isiolo total,machakos,machakos total,bomet,bomet total,T.Taveta,T.Taveta total,Garissa,Garissa total,Meru,Meru total,makueni,makueni total,kirinyaga,kirinyaga total,Trans nzoia,Trans nzoia total,Turkana,Turkana total,kisumu,kisumu total,nyeri,nyeri total,embu,embu total,muranga,muranga total,kericho,kericho total,Laikipi,Laikipia total,E.Marakwet,E.Marakwet total,Marsabit,Marsabit total,Narok,Narok total,Vihiga,Vihiga total,Nandi,Nandi total,Nyamira,Nyamira total,Lamu,Lamu total
79,73,30-05-20,143,1888,1,63,26,464,1361,2959,76962,143,0,110,,33,,86new,,25new,,,,3new,,1new,,,,6new,,,,1new,,,,,,,,,,11new,,,,3new,,,,3new,,1new,,,,,,,,1new,,,,1new,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,
80,74,31-05-20,74,1962,1,64,14,474,1424,1574,78536,,,55,,19,,35new,,23new,,1new,,2new,,2new,,,,2new,,,,,,,,,,,,,,2new,,,,,,,,6new,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,
81,75,01-06-20,59,2021,5,69,8,482,1470,1518,80054,,,35,,24,,29new,,14new,,1new,,,,2new,,,,1new,,,,,,,,,,,,,,,,,,,,,,4new,,,,,,,,2new,,,,,,,,,,,,6new,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,76,02-06-20,72,2093,2,71,17,499,1523,2892,82946,,,50,,22,,39new,,8new,,,,,,4new,,,,2new,,,,,,,,,,,,,,,,,,3new,,,,13new,,,,,,,,,,2new,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,,
83,77,03-06-20,123,2216,3,74,54,553,1589,2112,85058,,,90,,33,,44new,,34new,,2new,,,,3new,,,,3new,,,,,,,,,,,,,,12new,,,,,,,,20new,,,,,,,,,,1new,,,,,,,,,,,,,,3new,,,,,,,,1new,,,,,,,,,,,,,,,
84,78,04-06-20,124,2340,4,78,39,592,1670,2640,87698,119,5,100,,24,,38new,,40new,,,,,,6new,,,,3new,,,,,,,,,,,,,,,,,,,,,,26new,,,,,,,,2new,,2new,,,,,,,,,,,,,,,,,,1new,,,,,,1new,,,,,,,,,,,,,
85,79,05-06-20,134,2474,1,79,51,643,1752,3177,90875,131,3,98,,36,,31new,,67new,,2new,,,,1new,,,,,,,,,,,,,,2new,,,,1new,,,,,,,,15new,,,,5new,,,,4new,,1new,,,,,,,,,,,,1new,,,,,,1new,,,,,,,,,,,,,,,,,,,
86,80,06-06-20,126,2600,4,83,63,706,1811,3632,94507,,,98,,28,,8new,,56new,,,,,,1new,,,,,,,,,,,,,,1new,,,,1new,,,,3new,,,,54new,,,,1new,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,,
87,81,07-06-20,167,2767,1,84,46,752,1931,2833,97340,162,5,125,,42,,54new,,47new,,,,1new,,,,,,14new,,,,,,,,1new,,,,1new,,11new,,,,1new,,,,28new,,,,3new,,,,,,,,,,1new,,,,,,1new,,4new,,,,,,,,,,,,,,,,,,,,,,,,,
88,82,08-06-20,95,2862,1,85,97,849,1928,1096,98439,92,3,57,,38,,13new,,56new,,3new,,1new,,6new,,1new,,,,,,,,,,,,,,,,,,,,,,,,10new,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,,
89,83,09-06-20,127,2989,3,88,24,873,2028,2247,100686,124,3,,,,,62new,,34new,,4new,,4new,,,,,,4new,,,,,,,,,,,,,,1new,,,,,,,,14new,,,,4new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,84,10-06-20,105,3094,1,89,175,1048,1957,2270,102956,96,9,77,,28,,43new,,11new,,3new,,5new,,1new,,,,5new,,,,,,,,1new,,,,,,1new,,,,6new,,,,18new,,,,3new,,,,3new,,1new,,,,,,,,,,7new,,2new,,,,,,,,,,,,,,,,,,,,,,,,,
91,85,11-06-20,121,3215,3,92,44,1092,2031,3291,106247,115,6,92,,29,,49new,,20new,,2new,,,,5new,,,,2new,,,,,,,,,,,,,,,,,,4new,,,,37new,,,,,,,,,,,,,,,,,,,,,,,,1new,,,,1new,,,,,,,,,,,,,,,,,,,
92,86,12-06-20,90,3305,4,96,72,1164,2045,2419,108666,90,0,62,,28,,36new,,34new,,1new,,,,,,,,,,,,,,,,,,,,,,3new,,,,,,,,12new,,,,,,,,,,1new,,1new,,,,,,,,1new,,1new,,,,,,,,,,,,,,,,,,,,,,,,,
93,87,13-06-20,152,3457,4,100,57,1221,2136,3503,112171,152,0,116,,36,,70new,1546,41new,1020,,,,,4new,106,,,9new,,,,,,,,,,1new,,,,1new,,,,3new,,,,16new,308,,,3new,,,,1new,,,,,,,,,,,,,,2new,,,,,,,,,,,,,,,,1new,,,,,,,,,
94,88,14-06-20,137,3594,3,103,32,1253,2238,3167,115336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,89,15-06-20,133,3727,1,104,33,1286,2337,3365,118701,133,0,93,,40,,53new,,61new,,7new,,,,1new,,1new,,2new,,,,,,,,,,1new,,,,,,,,,,,,6new,,,,,,,,,,,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,,
96,90,16-06-20,133,3860,1,105,40,1326,2429,3255,121956,133,0,88,,45,,86new,,27new,,2new,,,,2new,,,,7new,,,,,,,,,,,,,,,,,,2new,,,,5new,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,,
97,91,17-06-20,184,4044,2,107,27,1353,2584,2518,124474,183,1,129,,55,,111new,,19new,,,,1new,,14new,,,,9new,,,,,,,,,,4new,,,,,,,,,,,,6new,,,,3new,,,1new,,,1new,,13new,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,1new,,,,,,,
98,92,18-06-20,213,4257,10,117,106,1459,2681,6024,130498,198,15,151,,62,,136new,,32new,,,,,,13new,,1new,,7new,,,,,,,,,,4new,,,,,,,,1new,,,,5new,,3new,,4new,,,,2new,,3new,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,1new,,,,,,,,,
99,93,19-06-20,117,4374,2,119,91,1550,2705,3043,133541,112,5,83,,34,,51new,,22new,,,,,,18new,,,,6new,,,,,,,,,,5new,,,,2new,,1new,,,,,,2new,,,,3new,,,,,,5new,,,,,,,,,,,,,,,,,,,,2new,,,,,,,,,,,,,,,,,
100,94,20-06-20,104,4478,2,121,36,1586,2771,2820,136361,104,0,76,,28,,60new,,33new,,5new,,,,2new,,,,,,,,,,,,,,,,,,,,,,,,,,3new,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,95,21-06-20,260,4738,2,123,21,1607,3008,3651,140012,254,6,176,,84,,157new,,42new,,1new,,15new,,7new,,,,14new,,1new,,1new,,,,,,3new,,2new,,,,,,3new,,,,3new,,,,9new,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,1new,,,,,,,,,,,,,,,
102,96,22-06-20,59,4797,2,125,73,1680,2992,2354,142366,59,0,47,,12,,28new,,21new,,3new,,,,,,,,2new,,,,1new,,,,,,,,,,1new,,,,,,1new,,,,,,2new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,97,23-06-20,155,4952,3,128,102,1782,3042,4171,146537,155,0,120,,35,,104new,2428,9new,1304,,52,,51,1new,179,,11,3new,155,,3,,4,,18,,12,2new,32,,5,4new,66,,17,10new,59,,7,19new,361,,7,2new,44,,1,,25,,25,,15,,3,,1,,1,,15,1new,20,,9,,2,,6,,3,,3,,1,,1,,3,,1,1new,1,1new,1,,
104,98,24-06-20,254,5206,2,130,41,1823,3253,4859,151396,254,0,186,,68,,127new,,36new,,2new,,,,22new,,,,12new,,1new,,1new,,,,1new,,1new,,,,5new,,,,29new,,,,9new,,1new,,2new,,,,1new,,1new,,,,,,,,,,,,,,,,,,3new,,,,,,,,,,,,,,,,,,,
105,99,25-06-20,178,5384,2,132,34,1857,3395,3918,155314,175,3,123,,55,,100new,,7new,,,,,,21new,,,,16new,,,,,,,,,,2new,,,,1new,,,,17new,,,,8new,,,,4new,,,,1new,,,,,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,
106,100,26-06-20,149,5533,5,137,48,1905,3491,3090,158404,148,1,94,,55,,73new,,20new,,1new,,,,15new,,,,8new,,,,,,,,13new,,1new,,,,,,,,,,1new,,9new,,1new,,3new,,,,3new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1new,,,,,
107,101,27-06-20,278,5811,4,141,31,1936,3734,4074,162478,276,2,181,,97,,171new,,37new,,,,1new,,4new,,,,12new,,,,,,,,1new,,17new,,,,9new,,,,3new,,,,10new,,,,2new,,,,1new,,,,1new,,1new,,,,2new,,,,1new,,,,,,,,2new,,,,,,,,,,1new,,2new,,,,,
108,102,28-06-20,259,6070,2,143,35,1971,3956,2718,165196,256,3,159,,100,,127new,,39new,,5new,,1new,,3new,,,,22new,,,,,,,,,,9new,,,,9new,,,,,,,,11new,,,,16new,,,,,,2new,,,,9new,,,,,,,,2new,,,,,,,,,,,,,,2new,,,,,,,,,,2new,
109,103,29-06-20,120,6190,1,144,42,2013,4033,2221,167417,115,5,84,,36,,67new,,17new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,104,30-06-20,176,6366,4,148,26,2039,4179,2419,169836,176,0,100,,76,,99new,,20new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,105,01-07-20,307,6673,1,149,50,2089,4435,3519,173355,289,18,215,,92,,154new,,38new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,106,02-07-20,268,6941,3,152,20,2109,4680,2704,176059,259,9,160,,108,,175new,,28new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,107,03-07-20,247,7188,2,154,39,2148,4886,4147,180206,242,5,164,,83,,153new,,35new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,108,04-07-20,389,7577,5,159,88,2236,5182,4829,185035,386,3,266,,123,,248new,,23new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,109,05-07-20,309,7886,1,160,51,2287,5439,4228,189263,302,7,217,,92,,193new,,18new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,110,06-07-20,181,8067,4,164,127,2414,5489,2131,191394,179,2,123,,58,,134new,,9new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,111,07-07-20,183,8250,3,167,90,2504,5579,2061,193455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,112,08-07-20,278,8528,2,169,89,2593,5766,3053,196508,266,12,194,,84,,131new,,5new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,113,09-07-20,447,8975,4,173,64,2657,6145,3803,200311,,,280,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,114,10-07-20,473,9448,8,181,76,2733,6534,6979,206584,,,324,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,115,11-07-20,278,9726,3,184,99,2832,6710,1403,207987,273,5,166,,112,,162new,,2new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,116,12-07-20,379,10105,1,185,49,2881,7039,7050,215037,376,3,253,,126,,209new,,16new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,117,13-07-20,189,10294,12,197,65,2946,7151,1205,216242,,,106,,83,,147new,,2new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,118,14-07-20,497,10791,5,202,71,3017,7572,4992,221234,480,17,318,,179,,292new,,28new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,119,15-07-20,461,11252,7,209,51,3068,7975,4261,225495,432,29,320,,141,,248new,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,120,16-07-20,421,11673,8,217,570,3638,7818,3895,230096,409,12,297,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,121,17-07-20,389,"12,062",5,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,122,18-07-20,688,"12,750",3,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,123,19-07-20,603,"13,353",9,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,124,20-07-20,418,"13,771",4,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,125,21-07-20,397,"14,168",12,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,126,22-07-20,637,"14,805",10,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,127,23-07-20,796,"15,601",3,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,128,24-07-20,667,"16,268",11,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,129,25-07-20,375,"16,643",4,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,130,26-07-20,960,"17,603",2,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,131,27-07-20,372,"17,975",5,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,132,28-07-20,606,"18,581",14,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,133,29-07-20,544,"19,125",12,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,134,30-07-20,788,"19,913",14,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,135,31-07-20,723,"20,636",16,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,136,01-08-20,727,"21,363",23,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,137,02-08-20,690,"22,053",5,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,138,03-08-20,544,"22,597",13,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,139,04-08-20,605,"23,202",6,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,140,05-08-20,671,"23,873",3,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,141,06-08-20,538,"24,411",8,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,142,07-08-20,727,"25,138",14,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,143,08-08-20,699,"25,837",5,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,144,09-08-20,599,"26,436",2,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,145,10-08-20,492,"26,928",3,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,146,11-08-20,497,"27,425",15,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,147,12-08-20,679,"28,104",18,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,148,13-08-20,650,"28,754",4,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,149,14-08-20,580,"29,334",5,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,150,15-08-20,515,"29,849",7,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,151,16-08-20,271,"30,120",2,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
